date,site,trial,time,duration,intspec,intsex,intsvl,firsttrial,focspec,focsex,focsvl,svldiff,height,placement,intlarger,intreact,con,attack,dewlap,pushup,display,numdewlap,numpushup,numdisplay,disprate,scatter,up,down
7/18/2017,BC44B,1,9:13,1.397983333,SA,M,58,1,CA,F,42,16,120,B,1,1,0,0,0,1,1,0,1,1,0.71531611,1,1,1
7/18/2017,BC44B,2,9:45,5,SA,M,61,1,CA,M,56,5,140,B,1,1,0,0,0,0,0,0,0,0,0,1,1,1
7/18/2017,BC44B,3,11:10,5,SA,M,58,1,CA,F,NA,NA,430,A,1,1,0,0,1,1,1,1,2,3,0.6,1,1,1
7/18/2017,BC44B,4,11:50,1.694316667,CA,M,56,1,SA,M,58,-2,88,B,0,1,0,0,1,1,1,4,2,6,3.541250651,0,0,0
7/18/2017,BC44B,5,12:05,5,CA,M,52,1,SA,M,57,-5,51,A,0,1,0,0,1,1,1,5,10,15,3,1,0,0
7/18/2017,BC44B,6,12:20,4.758916667,CA,M,57,1,SA,M,NA,NA,25,B,0,0,1,0,1,1,1,11,8,19,3.992505297,0,0,0
7/18/2017,BC44B,7,12:45,5,CA,M,57,1,SA,M,59,-2,103,A,0,1,0,0,1,1,1,7,8,15,3,1,0,0
7/18/2017,BC44B,8,13:10,3.928216667,SA,M,55,1,CA,F,45,10,52,B,1,1,0,0,1,0,1,8,0,8,2.036547543,1,1,1
7/18/2017,BC44B,9,13:25,1.999133333,CA,M,56,1,SA,M,57,-1,62,B,0,1,1,0,0,0,0,0,0,0,0,0,0,0
7/19/2017,BC44B,10,8:17,2.730983333,CA,M,57,1,SA,M,57,0,64,A,0,1,0,0,1,0,1,3,0,3,1.098505422,0,0,0
7/19/2017,BC44B,11,8:30,2.41205,CA,M,56,0,SA,M,56,0,66,B,0,0,0,0,0,1,1,0,3,3,1.243755312,0,0,0
7/19/2017,BC44B,12,8:50,5,CA,M,52,0,SA,M,55,-3,25,A,0,1,1,0,1,1,1,1,2,3,0.6,0,0,0
7/19/2017,BC44B,13,9:00,2.518233333,CA,M,56,0,SA,M,56,0,122,B,0,0,1,0,1,1,1,1,3,4,1.588415159,0,0,0
7/19/2017,BC44B,14,9:20,5,CA,M,57,0,SA,M,NA,NA,53,A,0,1,1,0,0,0,0,0,0,0,0,0,0,0
7/19/2017,BC44B,15,9:40,1.7607,SA,M,59,1,CA,M,56,3,103,A,1,0,0,0,1,1,1,1,1,2,1.135911853,1,1,1
7/19/2017,BC44B,16,9:55,3.560866667,CA,M,57,0,SA,M,53,4,83,B,1,0,1,0,1,1,1,1,3,4,1.123322038,0,0,0
7/19/2017,BC44B,17,10:20,3.991916667,CA,M,57,0,SA,M,56,1,125,A,1,1,0,0,1,0,1,10,0,10,2.505062313,0,0,0
7/19/2017,BC44B,18,11:10,5,SA,M,56,1,CA,M,51,5,260,A,1,0,0,0,0,0,0,0,0,0,0,1,1,1
7/19/2017,BC44B,20,13:38,5,CA,M,56,0,SA,M,59,-3,45,B,0,1,0,1,1,1,1,4,1,5,1,0,1,1
7/19/2017,BC44B,21,13:50,4.20025,CA,M,56,0,SA,M,60,-4,137,A,0,1,0,0,1,1,1,4,1,5,1.190405333,0,0,0
7/19/2017,BC44B,22,14:05,1.8928,SA,M,57,1,CA,F,41,16,320,A,1,0,0,0,1,0,1,1,0,1,0.528317836,1,0,0
7/19/2017,BC44B,23,14:20,1.759183333,CA,M,57,0,SA,M,56,1,140,B,1,1,0,0,0,0,0,0,0,0,0,0,0,0
7/19/2017,BC44B,24,14:35,2.366083333,CA,M,52,0,SA,M,59,-7,50,A,0,1,0,1,0,1,1,0,3,3,1.267918149,1,1,1
7/20/2017,BC44B,26,10:40,5,SA,M,59,1,CA,F,47,12,320,A,1,0,0,0,0,0,0,0,0,0,0,1,0,0
7/20/2017,BC44B,28,12:00,4.773066667,SA,M,56,1,CA,F,45,11,175,B,1,0,0,0,0,0,0,0,0,0,0,0,1,1
7/20/2017,BC44B,29,12:35,0.872683333,SA,M,57,1,CA,F,46,11,120,A,1,0,0,0,0,0,0,0,0,0,0,1,0,0
7/20/2017,BC44B,30,13:40,2.053283333,SA,M,59,0,CA,M,NA,NA,260,A,1,0,0,0,1,1,1,3,2,5,2.435124232,1,1,1
7/20/2017,BC44B,31,14:15,2.11245,SA,M,53,1,CA,F,NA,NA,170,B,1,0,0,0,0,0,0,0,0,0,0,1,0,0
7/24/2017,BC44B,32,9:37,1.425083333,SA,M,57,1,CA,M,57,0,230,B,0,1,0,0,0,0,0,0,0,0,0,1,1,1
7/24/2017,BC44B,33,11:00,5,SA,M,58,1,CA,F,45,13,250,A,1,1,0,0,0,0,0,0,0,0,0,1,0,0
7/24/2017,BC44B,34,11:40,5,SA,M,58,1,CA,F,41,17,48,A,1,0,0,0,0,0,0,0,0,0,0,0,0,0
7/24/2017,BC44B,35,12:35,4.534,SA,M,59,1,CA,F,46,13,380,B,1,0,1,0,0,0,0,0,0,0,0,0,0,0
7/24/2017,BC44B,36,12:50,5,SA,M,59,0,CA,M,52,7,420,B,1,1,0,0,1,1,1,1,1,2,0.4,1,1,1
7/24/2017,BC44B,37,14:45,1.783633333,SA,M,58,0,CA,M,52,6,300,A,1,1,0,0,0,0,0,0,0,0,0,1,1,1
7/24/2017,BC44B,38,15:40,2.048316667,SA,M,59,0,CA,M,52,7,500,B,1,1,0,0,0,0,0,0,0,0,0,1,0,0
7/27/2017,BC44B,39,9:30,4.9081,SA,M,57,1,CA,M,NA,NA,370,B,1,1,0,0,1,1,1,1,3,4,0.81497932,1,1,1
7/27/2017,BC44B,40,10:40,0.9744,SA,M,57,1,CA,F,45,12,130,B,1,1,0,0,1,1,1,1,2,3,3.078817734,1,1,1
7/27/2017,BC44B,42,11:45,2.350016667,SA,M,52,1,CA,F,NA,NA,300,A,1,0,0,0,0,1,1,0,2,2,0.851057794,1,0,0
7/27/2017,BC44B,43,12:30,5,SA,M,59,1,CA,M,NA,NA,350,B,1,0,0,0,1,1,1,9,8,17,3.4,1,0,0
7/27/2017,BC44B,44,13:40,4.97445,SA,M,57,0,CA,F,NA,NA,110,A,1,1,0,0,0,0,0,0,0,0,0,1,0,0
7/27/2017,BC44B,45,14:35,4.0957,SA,M,57,0,CA,F,NA,NA,300,B,1,1,0,0,0,0,0,0,0,0,0,0,0,0
7/27/2017,BC44B,46,15:05,0.757233333,SA,M,57,0,CA,M,NA,NA,380,A,NA,0,1,0,1,1,1,2,3,5,6.602984552,1,1,1
7/27/2017,BC44B,47,16:30,1.458033333,SA,M,52,0,CA,M,NA,NA,200,A,NA,1,0,0,0,0,0,0,0,0,0,1,1,1
7/29/2017,BC44B,48,10:15,1.59045,CA,M,57,1,SA,M,59,-2,75,A,0,0,0,0,1,1,1,2,2,4,2.515011475,0,0,0
7/29/2017,BC44B,49,10:35,4.527033333,SA,M,49,1,CA,M,NA,NA,250,B,0,1,0,0,0,0,0,0,0,0,0,1,0,0
7/29/2017,BC44B,51,12:10,1.454466667,SA,M,53,1,CA,M,NA,NA,400,B,NA,1,0,0,1,1,1,5,2,7,4.81276069,0,0,0
7/29/2017,BC44B,52,13:25,2.921866667,CA,M,57,0,SA,M,57,0,115,B,0,1,0,0,1,1,1,12,6,18,6.160445377,0,0,0
7/29/2017,BC44B,53,13:40,3.066583333,SA,M,53,1,CA,M,53,0,200,A,0,1,0,0,0,0,0,0,0,0,0,0,0,0
7/29/2017,BC44B,54,14:10,4.2699,SA,M,53,1,CA,F,46,7,10,B,1,1,0,0,0,1,1,0,1,1,0.234197522,1,0,0
7/25/2017,BC47,1,8:50,4.784266667,CA,M,57,1,SA,M,53,4,74,B,1,0,0,0,1,0,1,1,0,1,0.209018449,0,0,0
7/25/2017,BC47,2,9:00,4.790283333,SA,M,54,1,CA,F,48,6,137,B,1,1,0,0,0,0,0,0,0,0,0,0,0,0
7/25/2017,BC47,3,9:15,5,CA,M,52,1,SA,M,57,-5,89,A,0,1,1,0,1,1,1,4,1,5,1,0,1,1
7/25/2017,BC47,4,9:35,3.857216667,CA,M,52,1,SA,M,60,-8,83,B,0,1,0,0,1,0,1,7,0,7,1.814780087,0,1,1
7/25/2017,BC47,5,9:45,5,CA,M,52,1,SA,M,54,-2,320,A,0,1,1,0,1,1,1,15,13,28,5.6,0,0,0
7/25/2017,BC47,6,10:50,5,SA,M,57,1,CA,F,48,9,40,A,1,0,0,0,0,0,0,0,0,0,0,0,0,0
7/25/2017,BC47,7,11:30,3.67055,SA,M,57,1,CA,M,56,1,450,B,1,1,0,0,0,0,0,0,0,0,0,1,1,1
7/25/2017,BC47,8,11:50,5,SA,M,59,1,CA,F,47,12,160,A,1,1,0,0,0,1,1,0,2,2,0.4,1,1,1
7/25/2017,BC47,9,12:25,3.599166667,CA,M,57,0,SA,M,53,4,81,B,1,0,0,0,1,1,1,7,0,7,1.944894651,0,0,0
7/25/2017,BC47,10,12:40,1.542783333,CA,M,52,0,SA,M,58,-6,5,A,0,1,0,0,0,1,1,0,1,1,0.648179157,0,0,0
7/25/2017,BC47,11,13:00,2.236066667,CA,M,52,0,SA,M,58,-6,88,B,0,1,1,0,1,1,1,4,2,6,2.683283146,0,0,0
7/25/2017,BC47,12,13:25,4.146066667,SA,M,58,1,CA,M,53,5,130,A,1,1,0,0,1,1,1,3,1,4,0.964769822,0,0,0
7/25/2017,BC47,13,13:50,1.702266667,CA,M,52,0,SA,M,52,0,56,A,0,0,0,0,1,0,1,5,0,5,2.937260123,0,0,0
7/25/2017,BC47,14,14:15,2.04415,SA,M,54,1,CA,M,52,2,160,B,1,0,0,0,1,1,1,2,2,4,1.956803561,1,0,0
7/25/2017,BC47,15,14:45,2.889283333,SA,M,57,0,CA,M,51,6,300,B,1,0,1,0,1,1,1,4,4,8,2.768852715,1,1,1
7/25/2017,BC47,16,15:00,1.522766667,SA,M,59,0,CA,F,NA,NA,38,A,1,0,0,0,0,1,1,0,2,2,1.313398857,1,1,1
7/25/2017,BC47,17,15:30,4.713333333,CA,M,52,0,SA,M,57,-5,55,A,0,1,1,0,1,1,1,9,2,11,2.333804809,0,1,1
7/25/2017,BC47,18,15:40,2.741966667,CA,M,52,0,SA,M,58,-6,128,B,0,0,1,0,1,1,1,5,5,10,3.647017347,0,0,0
7/25/2017,BC47,19,15:50,3.4167,SA,M,57,0,CA,F,48,9,280,B,1,1,0,0,0,0,0,0,0,0,0,1,0,0
7/26/2017,BC47,20,8:30,4.798666667,CA,M,55,1,SA,M,56,-1,55,A,0,1,0,0,0,1,1,0,4,4,0.833564879,0,0,0
7/26/2017,BC47,22,9:15,4.7859,SA,M,55,1,CA,M,55,0,41,A,0,1,0,0,1,0,1,1,0,1,0.208947115,0,0,0
7/26/2017,BC47,23,9:45,1.058933333,SA,M,55,1,CA,F,NA,NA,450,B,1,1,0,0,0,0,0,0,0,0,0,1,1,1
7/26/2017,BC47,24,10:00,3.443233333,SA,M,56,1,CA,M,55,1,400,A,1,0,1,0,1,1,1,1,1,2,0.580849395,0,0,0
7/26/2017,BC47,25,10:20,3.837633333,SA,M,56,1,CA,M,56,0,350,A,0,0,0,0,0,0,0,0,0,0,0,1,0,0
7/26/2017,BC47,26,11:20,2.2502,SA,M,56,1,CA,F,46,10,148,A,1,1,0,0,0,0,0,0,0,0,0,1,1,1
7/26/2017,BC47,27,11:35,2.282633333,CA,M,55,0,SA,M,53,2,200,B,1,1,1,0,1,1,1,2,1,3,1.314271529,0,0,0
7/26/2017,BC47,28,12:00,3.075366667,SA,M,57,1,CA,M,NA,NA,300,B,NA,0,0,0,1,1,1,8,7,15,4.877467185,1,1,1
7/26/2017,BC47,29,12:20,4.353716667,SA,M,55,0,CA,F,NA,NA,410,B,1,0,1,0,0,1,1,0,1,1,0.22968881,1,1,1
7/26/2017,BC47,30,12:40,0.809083333,SA,M,56,0,CA,F,46,10,200,A,1,0,0,0,0,0,0,0,0,0,0,1,1,1
7/26/2017,BC47,31,13:35,2.442733333,CA,M,55,0,SA,M,58,-3,34,A,0,1,1,0,1,1,1,3,3,6,2.45626484,0,0,0
7/26/2017,BC47,32,13:50,3.96655,SA,M,56,0,CA,M,NA,NA,133,A,NA,1,0,0,0,0,0,0,0,0,0,1,0,0
7/26/2017,BC47,33,14:20,5,SA,M,56,0,CA,F,NA,NA,125,B,1,1,0,0,0,1,1,0,4,4,0.8,1,0,0
7/28/2017,BC47,34,8:35,2.049766667,CA,M,53,1,SA,M,56,-3,70,B,0,1,1,0,1,1,1,2,6,8,3.902883254,0,0,0
7/28/2017,BC47,35,9:15,1.213183333,SA,M,51,1,CA,M,57,-6,120,B,0,0,0,0,1,1,1,4,3,7,5.769944088,1,1,1
7/28/2017,BC47,36,9:45,4.7839,SA,M,51,1,CA,M,55,-4,550,A,0,0,0,0,1,1,1,2,4,6,1.254206819,1,1,1
7/28/2017,BC47,37,10:15,5,SA,M,56,1,CA,F,49,7,300,B,1,1,0,0,0,1,1,0,7,7,1.4,1,1,1
7/28/2017,BC47,38,11:10,2.3744,CA,M,53,1,SA,M,56,-3,17,A,0,0,1,0,1,1,1,5,1,6,2.526954178,0,1,1
7/28/2017,BC47,39,11:35,3.05705,SA,M,53,0,CA,M,52,1,81,A,1,0,0,0,0,0,0,0,0,0,0,1,0,0
7/28/2017,BC47,40,12:05,5,SA,M,56,1,CA,F,48,8,330,B,1,0,0,0,0,1,1,0,1,1,0.2,1,0,0
7/28/2017,BC47,41,13:30,5,SA,M,51,0,CA,F,48,3,130,A,1,0,0,0,1,1,1,2,3,5,1,1,1,1
7/28/2017,BC47,42,13:55,2.69105,CA,M,53,0,SA,M,57,-4,71,B,0,0,0,0,1,1,1,5,2,7,2.601215139,0,0,0
7/28/2017,BC47,43,14:30,4.466883333,SA,M,56,1,CA,F,48,8,160,A,1,0,1,0,1,1,1,2,4,6,1.343218426,0,0,0
7/28/2017,BC47,44,15:00,5,SA,M,51,0,CA,M,NA,NA,300,B,NA,1,0,0,1,1,1,1,1,2,0.4,0,1,1
